speaker_id,session,utt_id,primary_expected_file,all_candidates
F01,Session1,1,F01_Session1_0001.npy,F01_Session1_0001.npy|F01_Session1_1.npy|F01_0001.npy|F01_1.npy
F01,Session1,2,F01_Session1_0002.npy,F01_Session1_0002.npy|F01_Session1_2.npy|F01_0002.npy|F01_2.npy
F01,Session1,3,F01_Session1_0003.npy,F01_Session1_0003.npy|F01_Session1_3.npy|F01_0003.npy|F01_3.npy
F01,Session1,4,F01_Session1_0004.npy,F01_Session1_0004.npy|F01_Session1_4.npy|F01_0004.npy|F01_4.npy
F01,Session1,5,F01_Session1_0005.npy,F01_Session1_0005.npy|F01_Session1_5.npy|F01_0005.npy|F01_5.npy
F01,Session1,6,F01_Session1_0006.npy,F01_Session1_0006.npy|F01_Session1_6.npy|F01_0006.npy|F01_6.npy
F01,Session1,7,F01_Session1_0007.npy,F01_Session1_0007.npy|F01_Session1_7.npy|F01_0007.npy|F01_7.npy
F01,Session1,8,F01_Session1_0008.npy,F01_Session1_0008.npy|F01_Session1_8.npy|F01_0008.npy|F01_8.npy
F01,Session1,9,F01_Session1_0009.npy,F01_Session1_0009.npy|F01_Session1_9.npy|F01_0009.npy|F01_9.npy
F01,Session1,10,F01_Session1_0010.npy,F01_Session1_0010.npy|F01_Session1_10.npy|F01_0010.npy|F01_10.npy
F01,Session1,11,F01_Session1_0011.npy,F01_Session1_0011.npy|F01_Session1_11.npy|F01_0011.npy|F01_11.npy
F01,Session1,12,F01_Session1_0012.npy,F01_Session1_0012.npy|F01_Session1_12.npy|F01_0012.npy|F01_12.npy
F01,Session1,13,F01_Session1_0013.npy,F01_Session1_0013.npy|F01_Session1_13.npy|F01_0013.npy|F01_13.npy
F01,Session1,14,F01_Session1_0014.npy,F01_Session1_0014.npy|F01_Session1_14.npy|F01_0014.npy|F01_14.npy
F01,Session1,15,F01_Session1_0015.npy,F01_Session1_0015.npy|F01_Session1_15.npy|F01_0015.npy|F01_15.npy
F01,Session1,16,F01_Session1_0016.npy,F01_Session1_0016.npy|F01_Session1_16.npy|F01_0016.npy|F01_16.npy
F01,Session1,17,F01_Session1_0017.npy,F01_Session1_0017.npy|F01_Session1_17.npy|F01_0017.npy|F01_17.npy
F01,Session1,18,F01_Session1_0018.npy,F01_Session1_0018.npy|F01_Session1_18.npy|F01_0018.npy|F01_18.npy
F01,Session1,19,F01_Session1_0019.npy,F01_Session1_0019.npy|F01_Session1_19.npy|F01_0019.npy|F01_19.npy
F01,Session1,20,F01_Session1_0020.npy,F01_Session1_0020.npy|F01_Session1_20.npy|F01_0020.npy|F01_20.npy
F01,Session1,21,F01_Session1_0021.npy,F01_Session1_0021.npy|F01_Session1_21.npy|F01_0021.npy|F01_21.npy
F01,Session1,22,F01_Session1_0022.npy,F01_Session1_0022.npy|F01_Session1_22.npy|F01_0022.npy|F01_22.npy
F01,Session1,23,F01_Session1_0023.npy,F01_Session1_0023.npy|F01_Session1_23.npy|F01_0023.npy|F01_23.npy
F01,Session1,24,F01_Session1_0024.npy,F01_Session1_0024.npy|F01_Session1_24.npy|F01_0024.npy|F01_24.npy
F01,Session1,25,F01_Session1_0025.npy,F01_Session1_0025.npy|F01_Session1_25.npy|F01_0025.npy|F01_25.npy
F01,Session1,26,F01_Session1_0026.npy,F01_Session1_0026.npy|F01_Session1_26.npy|F01_0026.npy|F01_26.npy
F01,Session1,27,F01_Session1_0027.npy,F01_Session1_0027.npy|F01_Session1_27.npy|F01_0027.npy|F01_27.npy
F01,Session1,28,F01_Session1_0028.npy,F01_Session1_0028.npy|F01_Session1_28.npy|F01_0028.npy|F01_28.npy
F01,Session1,29,F01_Session1_0029.npy,F01_Session1_0029.npy|F01_Session1_29.npy|F01_0029.npy|F01_29.npy
F01,Session1,30,F01_Session1_0030.npy,F01_Session1_0030.npy|F01_Session1_30.npy|F01_0030.npy|F01_30.npy
F01,Session1,31,F01_Session1_0031.npy,F01_Session1_0031.npy|F01_Session1_31.npy|F01_0031.npy|F01_31.npy
F01,Session1,32,F01_Session1_0032.npy,F01_Session1_0032.npy|F01_Session1_32.npy|F01_0032.npy|F01_32.npy
F01,Session1,33,F01_Session1_0033.npy,F01_Session1_0033.npy|F01_Session1_33.npy|F01_0033.npy|F01_33.npy
F01,Session1,34,F01_Session1_0034.npy,F01_Session1_0034.npy|F01_Session1_34.npy|F01_0034.npy|F01_34.npy
F01,Session1,35,F01_Session1_0035.npy,F01_Session1_0035.npy|F01_Session1_35.npy|F01_0035.npy|F01_35.npy
F01,Session1,36,F01_Session1_0036.npy,F01_Session1_0036.npy|F01_Session1_36.npy|F01_0036.npy|F01_36.npy
