threshold,hysteresis_high,hysteresis_low,smoothing_window,avg_mse,avg_correlation,median_mse,median_correlation,processed
0.3,0.5,0.2,3,0.274561,0.5108,0.226837,0.5535,10
0.3,0.5,0.2,5,0.274350,0.5089,0.226240,0.5555,10
0.3,0.5,0.3,3,0.274561,0.5108,0.226837,0.5535,10
0.3,0.5,0.3,5,0.274350,0.5089,0.226240,0.5555,10
0.3,0.5,0.4,3,0.274561,0.5108,0.226837,0.5535,10
0.3,0.5,0.4,5,0.274350,0.5089,0.226240,0.5555,10
0.3,0.6,0.2,3,0.274561,0.5108,0.226837,0.5535,10
0.3,0.6,0.2,5,0.274350,0.5089,0.226240,0.5555,10
0.3,0.6,0.3,3,0.274561,0.5108,0.226837,0.5535,10
0.3,0.6,0.3,5,0.274350,0.5089,0.226240,0.5555,10
0.3,0.6,0.4,3,0.274561,0.5108,0.226837,0.5535,10
0.3,0.6,0.4,5,0.274350,0.5089,0.226240,0.5555,10
0.3,0.7,0.2,3,0.274561,0.5108,0.226837,0.5535,10
0.3,0.7,0.2,5,0.274350,0.5089,0.226240,0.5555,10
0.3,0.7,0.3,3,0.274561,0.5108,0.226837,0.5535,10
0.3,0.7,0.3,5,0.274350,0.5089,0.226240,0.5555,10
0.3,0.7,0.4,3,0.274561,0.5108,0.226837,0.5535,10
0.3,0.7,0.4,5,0.274350,0.5089,0.226240,0.5555,10
0.4,0.5,0.2,3,0.274561,0.5108,0.226837,0.5535,10
0.4,0.5,0.2,5,0.274350,0.5089,0.226240,0.5555,10
0.4,0.5,0.3,3,0.274561,0.5108,0.226837,0.5535,10
0.4,0.5,0.3,5,0.274350,0.5089,0.226240,0.5555,10
0.4,0.5,0.4,3,0.274561,0.5108,0.226837,0.5535,10
0.4,0.5,0.4,5,0.274350,0.5089,0.226240,0.5555,10
0.4,0.6,0.2,3,0.274561,0.5108,0.226837,0.5535,10
0.4,0.6,0.2,5,0.274350,0.5089,0.226240,0.5555,10
0.4,0.6,0.3,3,0.274561,0.5108,0.226837,0.5535,10
0.4,0.6,0.3,5,0.274350,0.5089,0.226240,0.5555,10
0.4,0.6,0.4,3,0.274561,0.5108,0.226837,0.5535,10
0.4,0.6,0.4,5,0.274350,0.5089,0.226240,0.5555,10
0.4,0.7,0.2,3,0.274561,0.5108,0.226837,0.5535,10
0.4,0.7,0.2,5,0.274350,0.5089,0.226240,0.5555,10
0.4,0.7,0.3,3,0.274561,0.5108,0.226837,0.5535,10
0.4,0.7,0.3,5,0.274350,0.5089,0.226240,0.5555,10
0.4,0.7,0.4,3,0.274561,0.5108,0.226837,0.5535,10
0.4,0.7,0.4,5,0.274350,0.5089,0.226240,0.5555,10
0.5,0.5,0.2,3,0.274561,0.5108,0.226837,0.5535,10
0.5,0.5,0.2,5,0.274350,0.5089,0.226240,0.5555,10
0.5,0.5,0.3,3,0.274561,0.5108,0.226837,0.5535,10
0.5,0.5,0.3,5,0.274350,0.5089,0.226240,0.5555,10
0.5,0.5,0.4,3,0.274561,0.5108,0.226837,0.5535,10
0.5,0.5,0.4,5,0.274350,0.5089,0.226240,0.5555,10
0.5,0.6,0.2,3,0.274561,0.5108,0.226837,0.5535,10
0.5,0.6,0.2,5,0.274350,0.5089,0.226240,0.5555,10
0.5,0.6,0.3,3,0.274561,0.5108,0.226837,0.5535,10
0.5,0.6,0.3,5,0.274350,0.5089,0.226240,0.5555,10
0.5,0.6,0.4,3,0.274561,0.5108,0.226837,0.5535,10
0.5,0.6,0.4,5,0.274350,0.5089,0.226240,0.5555,10
0.5,0.7,0.2,3,0.274561,0.5108,0.226837,0.5535,10
0.5,0.7,0.2,5,0.274350,0.5089,0.226240,0.5555,10
0.5,0.7,0.3,3,0.274561,0.5108,0.226837,0.5535,10
0.5,0.7,0.3,5,0.274350,0.5089,0.226240,0.5555,10
0.5,0.7,0.4,3,0.274561,0.5108,0.226837,0.5535,10
0.5,0.7,0.4,5,0.274350,0.5089,0.226240,0.5555,10
0.6,0.5,0.2,3,0.274561,0.5108,0.226837,0.5535,10
0.6,0.5,0.2,5,0.274350,0.5089,0.226240,0.5555,10
0.6,0.5,0.3,3,0.274561,0.5108,0.226837,0.5535,10
0.6,0.5,0.3,5,0.274350,0.5089,0.226240,0.5555,10
0.6,0.5,0.4,3,0.274561,0.5108,0.226837,0.5535,10
0.6,0.5,0.4,5,0.274350,0.5089,0.226240,0.5555,10
0.6,0.6,0.2,3,0.274561,0.5108,0.226837,0.5535,10
0.6,0.6,0.2,5,0.274350,0.5089,0.226240,0.5555,10
0.6,0.6,0.3,3,0.274561,0.5108,0.226837,0.5535,10
0.6,0.6,0.3,5,0.274350,0.5089,0.226240,0.5555,10
0.6,0.6,0.4,3,0.274561,0.5108,0.226837,0.5535,10
0.6,0.6,0.4,5,0.274350,0.5089,0.226240,0.5555,10
0.6,0.7,0.2,3,0.274561,0.5108,0.226837,0.5535,10
0.6,0.7,0.2,5,0.274350,0.5089,0.226240,0.5555,10
0.6,0.7,0.3,3,0.274561,0.5108,0.226837,0.5535,10
0.6,0.7,0.3,5,0.274350,0.5089,0.226240,0.5555,10
0.6,0.7,0.4,3,0.274561,0.5108,0.226837,0.5535,10
0.6,0.7,0.4,5,0.274350,0.5089,0.226240,0.5555,10
0.7,0.5,0.2,3,0.274561,0.5108,0.226837,0.5535,10
0.7,0.5,0.2,5,0.274350,0.5089,0.226240,0.5555,10
0.7,0.5,0.3,3,0.274561,0.5108,0.226837,0.5535,10
0.7,0.5,0.3,5,0.274350,0.5089,0.226240,0.5555,10
0.7,0.5,0.4,3,0.274561,0.5108,0.226837,0.5535,10
0.7,0.5,0.4,5,0.274350,0.5089,0.226240,0.5555,10
0.7,0.6,0.2,3,0.274561,0.5108,0.226837,0.5535,10
0.7,0.6,0.2,5,0.274350,0.5089,0.226240,0.5555,10
0.7,0.6,0.3,3,0.274561,0.5108,0.226837,0.5535,10
0.7,0.6,0.3,5,0.274350,0.5089,0.226240,0.5555,10
0.7,0.6,0.4,3,0.274561,0.5108,0.226837,0.5535,10
0.7,0.6,0.4,5,0.274350,0.5089,0.226240,0.5555,10
0.7,0.7,0.2,3,0.274561,0.5108,0.226837,0.5535,10
0.7,0.7,0.2,5,0.274350,0.5089,0.226240,0.5555,10
0.7,0.7,0.3,3,0.274561,0.5108,0.226837,0.5535,10
0.7,0.7,0.3,5,0.274350,0.5089,0.226240,0.5555,10
0.7,0.7,0.4,3,0.274561,0.5108,0.226837,0.5535,10
0.7,0.7,0.4,5,0.274350,0.5089,0.226240,0.5555,10
