threshold,hysteresis_high,hysteresis_low,smoothing_window,avg_mse,avg_correlation,median_mse,median_correlation,processed
0.3,0.5,0.2,3,0.393847,0.3684,0.423561,0.4756,5
0.3,0.5,0.2,5,0.393884,0.3627,0.423534,0.4770,5
0.3,0.5,0.3,3,0.393847,0.3684,0.423561,0.4756,5
0.3,0.5,0.3,5,0.393884,0.3627,0.423534,0.4770,5
0.3,0.5,0.4,3,0.393847,0.3684,0.423561,0.4756,5
0.3,0.5,0.4,5,0.393884,0.3627,0.423534,0.4770,5
0.3,0.6,0.2,3,0.393847,0.3684,0.423561,0.4756,5
0.3,0.6,0.2,5,0.393884,0.3627,0.423534,0.4770,5
0.3,0.6,0.3,3,0.393847,0.3684,0.423561,0.4756,5
0.3,0.6,0.3,5,0.393884,0.3627,0.423534,0.4770,5
0.3,0.6,0.4,3,0.393847,0.3684,0.423561,0.4756,5
0.3,0.6,0.4,5,0.393884,0.3627,0.423534,0.4770,5
0.3,0.7,0.2,3,0.393847,0.3684,0.423561,0.4756,5
0.3,0.7,0.2,5,0.393884,0.3627,0.423534,0.4770,5
0.3,0.7,0.3,3,0.393847,0.3684,0.423561,0.4756,5
0.3,0.7,0.3,5,0.393884,0.3627,0.423534,0.4770,5
0.3,0.7,0.4,3,0.393847,0.3684,0.423561,0.4756,5
0.3,0.7,0.4,5,0.393884,0.3627,0.423534,0.4770,5
0.4,0.5,0.2,3,0.393847,0.3684,0.423561,0.4756,5
0.4,0.5,0.2,5,0.393884,0.3627,0.423534,0.4770,5
0.4,0.5,0.3,3,0.393847,0.3684,0.423561,0.4756,5
0.4,0.5,0.3,5,0.393884,0.3627,0.423534,0.4770,5
0.4,0.5,0.4,3,0.393847,0.3684,0.423561,0.4756,5
0.4,0.5,0.4,5,0.393884,0.3627,0.423534,0.4770,5
0.4,0.6,0.2,3,0.393847,0.3684,0.423561,0.4756,5
0.4,0.6,0.2,5,0.393884,0.3627,0.423534,0.4770,5
0.4,0.6,0.3,3,0.393847,0.3684,0.423561,0.4756,5
0.4,0.6,0.3,5,0.393884,0.3627,0.423534,0.4770,5
0.4,0.6,0.4,3,0.393847,0.3684,0.423561,0.4756,5
0.4,0.6,0.4,5,0.393884,0.3627,0.423534,0.4770,5
0.4,0.7,0.2,3,0.393847,0.3684,0.423561,0.4756,5
0.4,0.7,0.2,5,0.393884,0.3627,0.423534,0.4770,5
0.4,0.7,0.3,3,0.393847,0.3684,0.423561,0.4756,5
0.4,0.7,0.3,5,0.393884,0.3627,0.423534,0.4770,5
0.4,0.7,0.4,3,0.393847,0.3684,0.423561,0.4756,5
0.4,0.7,0.4,5,0.393884,0.3627,0.423534,0.4770,5
0.5,0.5,0.2,3,0.393847,0.3684,0.423561,0.4756,5
0.5,0.5,0.2,5,0.393884,0.3627,0.423534,0.4770,5
0.5,0.5,0.3,3,0.393847,0.3684,0.423561,0.4756,5
0.5,0.5,0.3,5,0.393884,0.3627,0.423534,0.4770,5
0.5,0.5,0.4,3,0.393847,0.3684,0.423561,0.4756,5
0.5,0.5,0.4,5,0.393884,0.3627,0.423534,0.4770,5
0.5,0.6,0.2,3,0.393847,0.3684,0.423561,0.4756,5
0.5,0.6,0.2,5,0.393884,0.3627,0.423534,0.4770,5
0.5,0.6,0.3,3,0.393847,0.3684,0.423561,0.4756,5
0.5,0.6,0.3,5,0.393884,0.3627,0.423534,0.4770,5
0.5,0.6,0.4,3,0.393847,0.3684,0.423561,0.4756,5
0.5,0.6,0.4,5,0.393884,0.3627,0.423534,0.4770,5
0.5,0.7,0.2,3,0.393847,0.3684,0.423561,0.4756,5
0.5,0.7,0.2,5,0.393884,0.3627,0.423534,0.4770,5
0.5,0.7,0.3,3,0.393847,0.3684,0.423561,0.4756,5
0.5,0.7,0.3,5,0.393884,0.3627,0.423534,0.4770,5
0.5,0.7,0.4,3,0.393847,0.3684,0.423561,0.4756,5
0.5,0.7,0.4,5,0.393884,0.3627,0.423534,0.4770,5
0.6,0.5,0.2,3,0.393847,0.3684,0.423561,0.4756,5
0.6,0.5,0.2,5,0.393884,0.3627,0.423534,0.4770,5
0.6,0.5,0.3,3,0.393847,0.3684,0.423561,0.4756,5
0.6,0.5,0.3,5,0.393884,0.3627,0.423534,0.4770,5
0.6,0.5,0.4,3,0.393847,0.3684,0.423561,0.4756,5
0.6,0.5,0.4,5,0.393884,0.3627,0.423534,0.4770,5
0.6,0.6,0.2,3,0.393847,0.3684,0.423561,0.4756,5
0.6,0.6,0.2,5,0.393884,0.3627,0.423534,0.4770,5
0.6,0.6,0.3,3,0.393847,0.3684,0.423561,0.4756,5
0.6,0.6,0.3,5,0.393884,0.3627,0.423534,0.4770,5
0.6,0.6,0.4,3,0.393847,0.3684,0.423561,0.4756,5
0.6,0.6,0.4,5,0.393884,0.3627,0.423534,0.4770,5
0.6,0.7,0.2,3,0.393847,0.3684,0.423561,0.4756,5
0.6,0.7,0.2,5,0.393884,0.3627,0.423534,0.4770,5
0.6,0.7,0.3,3,0.393847,0.3684,0.423561,0.4756,5
0.6,0.7,0.3,5,0.393884,0.3627,0.423534,0.4770,5
0.6,0.7,0.4,3,0.393847,0.3684,0.423561,0.4756,5
0.6,0.7,0.4,5,0.393884,0.3627,0.423534,0.4770,5
0.7,0.5,0.2,3,0.393847,0.3684,0.423561,0.4756,5
0.7,0.5,0.2,5,0.393884,0.3627,0.423534,0.4770,5
0.7,0.5,0.3,3,0.393847,0.3684,0.423561,0.4756,5
0.7,0.5,0.3,5,0.393884,0.3627,0.423534,0.4770,5
0.7,0.5,0.4,3,0.393847,0.3684,0.423561,0.4756,5
0.7,0.5,0.4,5,0.393884,0.3627,0.423534,0.4770,5
0.7,0.6,0.2,3,0.393847,0.3684,0.423561,0.4756,5
0.7,0.6,0.2,5,0.393884,0.3627,0.423534,0.4770,5
0.7,0.6,0.3,3,0.393847,0.3684,0.423561,0.4756,5
0.7,0.6,0.3,5,0.393884,0.3627,0.423534,0.4770,5
0.7,0.6,0.4,3,0.393847,0.3684,0.423561,0.4756,5
0.7,0.6,0.4,5,0.393884,0.3627,0.423534,0.4770,5
0.7,0.7,0.2,3,0.393847,0.3684,0.423561,0.4756,5
0.7,0.7,0.2,5,0.393884,0.3627,0.423534,0.4770,5
0.7,0.7,0.3,3,0.393847,0.3684,0.423561,0.4756,5
0.7,0.7,0.3,5,0.393884,0.3627,0.423534,0.4770,5
0.7,0.7,0.4,3,0.393847,0.3684,0.423561,0.4756,5
0.7,0.7,0.4,5,0.393884,0.3627,0.423534,0.4770,5
