factor,group,method,count,mean_f1,mean_accuracy,mean_segment_iou,mean_miss_rate
speaker,F01,energy_default,30,0.28471779508297207,0.6021923761362171,0.20221853026554124,0.7460897031480084
speaker,F01,student,30,0.5511268491755225,0.6292637407877284,0.4332230294360549,0.32498814731583586
duration,long(>=4s),energy_default,11,0.26586609437772996,0.4457488901197886,0.16848637260657495,0.7206964968803459
duration,medium(2-4s),energy_default,10,0.3945125269800126,0.742534661339161,0.30026405048992383,0.6832474264937064
duration,short(<2s),energy_default,9,0.18576461605933392,0.6374652088196916,0.13450725604385266,0.8469505959799316
duration,long(>=4s),student,11,0.6798311861986457,0.6100302441122802,0.5614472909004184,0.15684083072657415
duration,medium(2-4s),student,10,0.5400122625551224,0.7131998527360309,0.426617291470877,0.3624574263774553
duration,short(<2s),student,9,0.40617108905881644,0.5595090012262736,0.2838441964964746,0.4888690019675783
speech_ratio,mixed(0.3-0.7),energy_default,15,0.2810546598941259,0.4976248443562849,0.19580728711101691,0.7750032836761378
speech_ratio,silence-heavy(<0.3),energy_default,13,0.2934967715620229,0.7618766062033544,0.2178027603413225,0.697307780512115
speech_ratio,speech-heavy(>0.7),energy_default,2,0.2551279618854878,0.3485013690493143,0.14900535843189516,0.8463203463203464
speech_ratio,mixed(0.3-0.7),student,15,0.6381801521830565,0.6243178752290534,0.5026422316196474,0.28345650514636234
speech_ratio,silence-heavy(<0.3),student,13,0.4104691433473458,0.6235426409186082,0.31395448260691794,0.40523884350222605
speech_ratio,speech-heavy(>0.7),student,2,0.8125021645021644,0.7035448816270734,0.6878245674485,0.11484593837535013
